"time","health"
5,38.4573054
10,38.4573054
15,38.5307526
20,34.4090335
25,34.4090335
30,34.4090335
35,34.4090335
40,34.4090335
45,34.4090335
50,34.4090335
55,34.4090335
60,34.4090335
65,34.4090335
70,34.4090335
75,33.4545936
80,33.4545936
85,33.0637741
90,33.0637741
95,33.0637741
100,33.0637741
105,33.0637741
110,33.0637741
115,45.8763412
120,45.8763412
125,35.8134991
130,35.8134991
135,35.8134991
140,37.1622733
145,37.1622733
150,37.1622733
155,35.837527
160,38.48201
165,38.48201
170,41.2979405
175,41.2979405
180,31.7794682
185,31.7794682
190,31.7794682
195,43.9136183
200,35.8696753
205,45.3262447
210,45.3262447
215,45.3262447
220,33.5874288
225,33.5874288
230,33.5874288
235,33.5874288
240,33.5874288
245,33.5874288
250,33.5874288
255,49.4018472
260,49.4018472
265,49.4018472
270,49.4018472
275,49.4018472
280,37.184463
285,35.8061059
290,39.8964241
295,39.9311378
300,39.9311378
305,39.9311378
310,38.6676076
315,38.6676076
320,38.6676076
325,38.6676076
330,38.6676076
335,33.1528056
340,33.1528056
345,33.1528056
350,41.2336338
355,41.2336338
360,41.2336338
365,41.2336338
370,41.2336338
375,41.2336338
380,41.2336338
385,41.2336338
390,41.2336338
395,42.6226262
400,42.6226262
405,42.6226262
410,38.4672034
415,41.1485918
420,34.4782387
425,35.7798459
430,35.7798459
435,33.1412512
440,41.4150399
445,42.7810245
450,44.0116186
455,44.0116186
460,44.0116186
465,44.0116186
470,44.0116186
475,44.0116186
480,44.0116186
485,44.0116186
490,44.0116186
495,44.0116186
500,44.0116186
505,41.3529552
510,41.3529552
515,34.6259916
520,46.8787056
525,46.8787056
530,46.8787056
535,44.109023
540,44.109023
545,44.109023
550,41.4397344
555,41.520393
560,41.4850329
565,41.4850329
570,41.4850329
575,36.0865829
580,36.0865829
585,36.0865829
590,36.0865829
595,36.0865829
600,36.0865829
605,36.0865829
610,36.0865829
615,36.0865829
620,36.0865829
625,36.0865829
630,36.0865829
635,36.0865829
640,37.6580823
645,37.6580823
650,37.6580823
655,37.6580823
660,37.2000776
665,43.8277784
670,43.8277784
675,43.8277784
680,42.4559964
685,39.8710125
690,39.8710125
695,39.8710125
700,39.8710125
705,39.8710125
710,30.285557
715,39.8371472
720,39.8371472
725,42.6151522
730,42.6151522
735,42.6151522
740,38.4282982
745,38.4282982
750,38.4282982
755,37.1572738
760,37.1572738
765,36.3968347
770,36.4098839
775,36.4098839
780,36.4098839
785,36.4098839
790,36.4098839
795,41.9007489
800,41.9007489
805,41.9007489
810,41.9007489
815,34.3332835
820,34.3332835
825,34.3332835
830,41.1255739
835,37.0765344
840,37.0765344
845,37.0765344
850,37.0765344
855,37.0765344
860,37.0765344
865,37.0765344
870,37.7173188
875,37.7173188
880,37.7173188
885,37.7173188
890,37.7173188
895,37.7173188
900,37.7173188
905,37.7173188
910,37.7173188
915,37.7173188
920,37.7173188
925,37.7173188
930,37.7173188
935,37.7173188
940,37.7173188
945,37.7173188
950,37.7173188
955,37.7173188
