time,ax,ay,az,aT
1.2410,-1.7505,-2.1425,-0.1019,2.769
1.2470,-1.0163,-0.9456,1.4530,2.010
1.2560,1.1824,2.9937,1.0100,3.373
1.2700,-0.3893,0.0407,0.6796,0.784
1.2780,-0.5505,-0.1455,-1.2609,1.383
1.2880,0.5274,0.2899,0.6941,0.919
1.2950,0.0576,-1.6355,-0.5126,1.715
1.3080,0.5196,-1.4021,0.9634,1.779
1.3160,-0.6104,-1.3599,-1.3256,1.995
1.3320,-1.1605,0.4259,-1.3101,1.801
1.3560,-0.4846,-0.2148,0.7981,0.958
1.3570,0.7403,1.2531,0.0847,1.458
1.3580,0.6691,2.2323,-0.6384,2.416
1.3680,0.2423,0.3843,-0.1093,0.467
1.3750,-0.2418,-0.4405,-0.7378,0.893
1.3870,0.4878,-1.6391,0.0655,1.711
1.3960,0.6810,-1.5953,-2.6029,3.128
1.4070,-1.8472,-0.4357,3.4006,3.894
1.4160,0.0109,1.8135,-1.1436,2.144
1.4280,-0.1281,-0.5225,0.7287,0.906
1.4400,0.2156,0.7115,-1.1603,1.378
1.4520,0.3694,1.9900,-1.1435,2.325
1.4560,0.2084,-0.3398,0.2080,0.450
1.4670,-0.5304,-0.2144,-1.3841,1.498
1.4760,-0.1060,-1.3637,0.6821,1.528
1.4890,0.1648,-1.6450,0.2799,1.677
1.4980,0.0018,0.5946,0.5146,0.786
1.5070,0.5416,2.1379,0.3781,2.238
1.5150,0.3399,0.8553,-0.4539,1.026
1.5260,0.8278,0.0644,-0.7030,1.088
1.5410,0.0482,-1.3798,1.6887,2.181
1.5470,1.0932,-1.5407,1.6779,2.527
1.5550,1.3123,-0.8501,-0.5105,1.645
1.5670,-1.7383,-0.7232,0.3261,1.911
1.5770,-0.5265,1.3866,-0.3096,1.515
1.5940,1.3730,1.0179,0.5643,1.800
1.5980,0.5897,0.7945,-0.7742,1.256
1.6080,1.0654,2.2773,-1.2794,2.821
1.6170,-0.3216,1.7317,-0.4643,1.821
1.6280,-0.9342,0.5454,-2.4549,2.683
1.6530,0.8047,-1.8721,2.7383,3.413
1.6570,-0.6861,-2.4469,-0.1444,2.545
1.6590,-0.5515,0.1265,-0.3719,0.677
1.6670,0.3093,1.3336,-1.1224,1.770
1.6750,-1.5175,0.4614,-0.9608,1.854
1.6870,0.2321,-0.6820,1.9208,2.051
1.6960,1.2072,1.3993,0.2604,1.866
1.7070,0.3547,0.1348,0.7692,0.858
1.7150,-0.3899,0.4921,-1.2982,1.442
1.7270,-1.4894,-1.0775,-2.1433,2.824
1.7450,0.2553,-1.0865,1.0410,1.526
