time,ax,ay,az,aT
1.2380,-0.8118,-1.3320,-0.7603,1.735
1.2480,-0.2499,0.4293,1.0520,1.163
1.2790,0.3043,0.8698,-0.6407,1.122
1.2810,-0.1893,-0.8327,-0.1391,0.865
1.2820,-0.9202,-1.2095,-0.7017,1.674
1.2880,-0.8902,-0.5113,-1.1936,1.574
1.3000,-0.0417,0.9067,0.2359,0.938
1.3120,0.5023,1.4284,0.7496,1.690
1.3190,1.0182,0.4335,0.0518,1.108
1.3320,0.2693,-0.1824,0.4684,0.570
1.3400,0.0213,0.0507,-2.1485,2.149
1.3610,-0.7312,0.2841,-0.8293,1.142
1.3640,0.2509,0.9394,0.2350,1.000
1.3680,0.9239,-0.5624,0.6840,1.280
1.4080,0.2600,0.8269,-3.0774,3.197
1.4090,-1.6194,-1.2125,-2.2167,3.001
1.4090,-1.3996,-0.7358,-0.6053,1.693
1.4100,-0.8551,0.3257,0.1539,0.928
1.4180,0.4711,-0.8897,-0.1702,1.021
1.4280,-0.4035,-0.7194,-0.4035,0.918
1.4630,-0.7362,-0.7409,-1.5537,1.872
1.4650,-0.3509,0.5964,-0.4305,0.815
1.4670,0.5627,1.5428,0.2521,1.661
1.4700,0.8586,-0.0992,0.0307,0.865
1.4980,0.8583,-0.1020,0.0307,0.865
1.5010,-0.8210,-0.7711,-1.0215,1.521
1.5020,-0.0458,0.8932,-0.6945,1.132
1.5130,0.7185,1.4966,0.1579,1.668
1.5180,0.5938,0.3967,0.1950,0.740
1.5300,0.0286,-0.4598,-0.6430,0.791
1.5400,-0.3957,-0.5329,0.4583,0.807
1.5470,-0.2181,0.8278,-0.3210,0.914
1.5650,0.2016,0.8528,0.2548,0.913
1.5690,0.5562,0.2152,-1.2044,1.344
1.6050,0.5444,-0.5658,2.4862,2.607
1.6050,0.1851,-0.0526,0.6845,0.711
1.6060,0.4299,1.2637,-0.1512,1.343
1.6150,0.5599,0.8885,0.6640,1.242
1.6190,1.0910,0.6864,-1.2024,1.763
1.6300,1.2184,-0.3009,-0.1061,1.259
1.6400,0.6842,0.3880,1.0990,1.352
1.6540,0.9860,1.7951,-0.7269,2.173
1.6930,0.8809,1.1495,1.5427,2.116
1.6940,0.6975,0.2165,-1.1567,1.368
1.6940,0.3934,-0.7921,-0.5234,1.028
1.6950,-0.1891,-0.2303,-0.8441,0.895
1.6990,0.5426,0.6793,0.7732,1.163
1.7100,1.1464,0.7930,0.0610,1.395
1.7190,0.7614,-0.0193,0.2133,0.791
1.7300,-0.2741,-0.9011,-0.0641,0.944
1.7400,-0.3107,-1.1044,-1.7472,2.090
1.7480,-0.0758,0.3211,2.1158,2.141
1.7850,0.0096,0.6786,-0.6543,0.943
1.7930,0.1957,-0.4861,-0.9140,1.054
1.7960,-0.3699,-1.0347,-0.8673,1.400
1.7980,-0.1913,-0.0979,0.1370,0.255
1.7990,0.3504,0.6619,-0.3323,0.819
1.8320,0.4504,0.6521,1.1018,1.357
1.8330,0.6406,0.1186,-0.0055,0.652
1.8330,0.2100,-0.7105,-0.3394,0.815
1.8390,0.5562,-0.2500,1.4658,1.588
1.8470,0.4373,0.9390,1.1665,1.560
1.8650,1.1979,1.1419,0.2927,1.681
1.8670,1.0619,0.2433,1.1191,1.562
1.9010,0.0959,-0.7116,0.6202,0.949
1.9040,-0.3060,-0.1553,0.5162,0.620
1.9060,-0.3532,0.6777,-0.5946,0.968
1.9120,0.2127,0.6372,0.8685,1.098
1.9190,-0.0282,-0.8432,-0.2088,0.869
1.9290,-0.8304,-1.3589,-0.4398,1.652
1.9400,-1.0728,-1.3749,-0.9965,2.009
1.9470,-0.5629,-0.2046,0.2398,0.645
1.9720,0.4758,0.6282,0.8739,1.177
1.9940,-0.5521,-0.9660,-0.5999,1.264
1.9940,-1.0121,-1.3257,-1.2669,2.094
1.9950,-0.7519,-0.7349,-0.7084,1.268
2.0330,-0.2977,0.2987,-0.1248,0.440
2.0330,0.1695,0.4520,-0.9032,1.024
2.0340,0.2948,-1.0239,1.9769,2.246
2.0350,-0.4035,-1.3345,-0.7575,1.587
2.0430,-0.7677,-0.4165,-0.9590,1.297
2.0610,-0.8217,0.5669,-0.5917,1.160
2.0610,0.5640,1.3578,1.3163,1.973
2.0760,-0.1659,0.0557,-1.7423,1.751
2.1050,-1.2930,-1.4800,-0.8325,2.134
2.1070,-0.9481,-0.8411,-0.4543,1.346
2.1120,0.1749,1.3932,0.0124,1.404
2.1130,0.1328,-0.4046,0.3811,0.571
2.1200,0.0040,-0.4540,-0.0163,0.454
2.1300,-0.6479,-0.8168,-0.8256,1.330
2.1390,-0.6584,-0.9391,0.5954,1.292
2.1470,-0.1590,0.3248,0.2530,0.441
2.1590,0.5786,0.3458,-0.5072,0.844
2.1720,0.6501,-0.1613,-0.4377,0.800
2.2130,-0.3087,-0.7082,-1.0243,1.283
2.2140,-1.2468,-0.5573,-1.2733,1.867
2.2140,-0.3199,1.2632,-0.6472,1.455
2.2150,1.0093,0.4893,1.7662,2.092
2.2180,0.2954,-0.3028,-0.2234,0.478
2.2280,-0.0653,-0.4790,-1.8204,1.883
2.2390,-1.3601,-0.9792,-1.4049,2.187
2.2560,-0.7103,1.0485,0.5883,1.396
2.2590,-0.4403,0.8414,-0.0557,0.951
2.2880,0.0985,-0.4007,1.2301,1.297
2.2890,-0.6368,-0.1271,-0.8947,1.105
2.2890,-1.4554,-1.1304,-0.9377,2.068
2.3110,-0.4430,0.6627,0.3865,0.886
2.3120,0.2969,0.8378,0.5436,1.042
2.3190,0.3885,-0.4957,-0.4666,0.784
2.3330,-0.6982,-0.6433,-0.9310,1.330
2.3400,-0.6925,0.2597,-1.0709,1.302
2.3500,0.1123,0.8683,0.9141,1.266
2.3640,0.8657,1.0372,0.9777,1.668
2.3870,0.9592,0.5092,-0.2697,1.119
2.3900,0.8007,-0.1862,0.4019,0.915
2.3940,0.4832,0.8344,0.0989,0.969
2.4320,1.2029,1.6412,0.3227,2.060
2.4330,1.2872,1.4316,1.8130,2.644
2.4340,1.4667,0.3175,0.8612,1.730
2.4340,0.6828,-0.3890,1.0766,1.333
2.4390,0.1070,0.5540,-1.8205,1.906
2.4470,-0.8110,0.6633,-0.8938,1.377
2.4710,0.0476,0.8133,-0.3141,0.873
2.4730,-0.1598,-0.4852,-0.4299,0.668
2.5050,-0.8853,-2.0042,0.9014,2.369
2.5080,-0.2226,-0.3569,-0.8535,0.952
2.5090,-0.3322,0.6557,0.5291,0.906
2.5110,0.2718,0.7198,-0.2095,0.797
2.5190,0.6938,0.2007,-0.7062,1.010
2.5320,-0.4089,-0.7708,-0.2526,0.908
2.5410,0.2050,0.8295,0.9769,1.298
2.5480,-0.0493,0.6343,-0.5075,0.814
2.5590,0.2630,0.6370,0.0350,0.690
2.5710,0.7622,0.2471,-0.1672,0.819
2.6130,-0.3161,-0.6089,-1.2661,1.440
2.6140,-0.3315,-0.0939,0.8912,0.956
2.6150,-0.1346,0.9101,0.1538,0.933
2.6150,0.4778,0.9642,-0.1921,1.093
2.6190,0.3833,-0.6988,0.0369,0.798
2.6310,0.0085,-0.7939,-0.8585,1.169
2.6400,0.7311,0.1788,3.2355,3.322
2.6480,-0.5165,0.7669,0.9862,1.352
2.6590,0.0731,1.2176,-0.2396,1.243
2.6790,0.4294,-0.6043,-0.3938,0.839
2.6810,-0.0201,-1.0775,0.1522,1.088
2.6880,0.0325,-1.1515,0.7112,1.354
2.7190,-0.0578,0.3887,-0.0108,0.393
2.7190,0.5954,0.7261,-0.6058,1.118
2.7200,-0.2318,-1.0331,-0.7554,1.301
2.7310,-0.4162,-1.0372,0.0059,1.118
2.7380,-0.5799,-0.5957,-1.0407,1.332
2.7490,-0.0822,0.3885,0.7321,0.833
2.7590,0.4460,-0.0027,0.9115,1.015
2.7740,0.4008,-0.4919,-0.1708,0.657
2.8150,-0.1820,-0.8671,0.0590,0.888
2.8170,-0.7293,-0.4604,-0.8282,1.196
2.8190,-0.6514,0.1399,-0.8141,1.052
2.8200,0.5173,0.3190,0.8952,1.082
2.8210,-0.6001,-0.6635,-2.1562,2.334
2.8310,-1.9254,-1.7185,-1.4596,2.965
2.8400,-1.5910,-0.2459,-1.0207,1.906
2.8500,-0.4115,-0.0063,0.2696,0.492
2.8590,0.3229,0.4270,0.6671,0.855
2.8710,-0.4435,-1.0547,-1.1861,1.648
2.9070,-0.6960,-1.4309,-0.8963,1.826
2.9070,-0.1373,-0.5070,-1.5583,1.644
2.9080,0.5711,0.3164,2.5155,2.599
2.9080,0.6481,0.1125,-0.3850,0.762
2.9300,0.0764,-0.6184,-1.0207,1.196
2.9300,-0.2958,-1.0362,-0.6304,1.248
2.9420,-0.3450,-0.4958,-0.0654,0.608
2.9540,0.2186,0.9020,0.1010,0.934
2.9590,0.6104,0.4872,0.7008,1.049
2.9790,0.3466,-0.3260,0.5092,0.697
2.9910,-0.5606,-1.0301,-0.5131,1.280
2.9920,-0.5704,-0.5291,-0.5060,0.928
3.0370,0.3814,1.3312,0.0124,1.385
3.0370,0.6039,0.5576,0.3716,0.902
3.0380,0.3209,-0.4223,1.0395,1.167
3.0390,-0.9826,-0.9065,-1.4290,1.957
3.0390,-1.0651,-0.3033,-1.8371,2.145
3.0490,-0.5589,0.9114,0.2077,1.089
3.0590,0.4863,0.2349,0.1539,0.562
3.0740,0.6642,-0.1549,0.5597,0.882
3.1080,-0.4477,-0.7544,-0.1442,0.889
3.1110,-0.6357,-0.0960,-0.5020,0.816
3.1120,0.2033,1.5577,0.3217,1.603
3.1130,1.0530,1.1233,-0.2301,1.557
3.1310,0.3029,0.2213,1.2709,1.325
3.1340,-0.3135,-0.3204,-1.9505,2.001
3.1400,0.2567,1.0894,1.6108,1.962
3.1520,0.1846,1.0586,0.4652,1.171
3.1600,0.9822,1.2581,-0.1908,1.607
3.1720,0.6119,0.0484,0.1659,0.636
3.1790,-0.2841,-0.7607,-0.2029,0.837
3.2210,-0.1949,0.3067,-0.8123,0.890
3.2220,0.3404,0.9133,1.0085,1.403
3.2220,0.7106,0.7832,0.8026,1.328
3.2230,0.2682,-0.5102,-1.2432,1.370
3.2270,-0.0738,-0.5668,1.7675,1.858
3.2390,-0.5094,0.0434,-0.5728,0.768
3.2560,-0.1619,0.9571,-0.6016,1.142
3.2580,0.4570,1.3886,0.1503,1.470
3.2930,1.2034,0.4878,-0.0722,1.301
3.2950,0.1232,-0.2759,-0.5630,0.639
3.2960,-0.0180,0.3798,0.1002,0.393
3.3130,-0.0173,1.0313,-0.6850,1.238
3.3160,0.2070,1.2354,0.5938,1.386
3.3190,1.1850,-0.6184,-0.2942,1.369
3.3280,0.0898,-0.4867,1.2622,1.356
3.3400,0.3409,0.7029,-0.9871,1.259
3.3590,0.2944,1.0647,0.2125,1.125
3.3620,0.7657,0.5843,0.0081,0.963
3.4130,0.3611,-1.0613,0.3639,1.179
3.4140,-0.4859,-0.9395,-0.1340,1.066
3.4150,-0.5427,-0.3181,-1.4461,1.577
3.4150,-0.5167,0.4798,-0.4836,0.855
3.4160,0.0884,0.7246,-0.1963,0.756
3.4180,0.0675,-1.0743,-0.2980,1.117
3.4270,-0.4844,-1.1095,-0.9648,1.548
3.4390,-0.1308,-0.2246,-0.6872,0.735
3.4600,0.1571,0.8074,0.4152,0.921
3.4630,0.4953,-0.1544,-0.2372,0.570
3.5060,0.6550,-0.3175,-0.4755,0.869
3.5080,0.5947,-0.8183,0.4175,1.094
3.5100,-0.0789,-0.2619,0.3623,0.454
3.5110,0.4044,1.1740,-1.6993,2.105
3.5130,0.6149,0.1023,0.2041,0.656
3.5200,0.1426,-0.2860,-0.3885,0.503
3.5350,-0.7163,-0.1355,-0.8698,1.135
3.5410,0.3240,0.5180,3.5451,3.597
3.5490,-0.0470,0.5090,-0.5417,0.745
3.5590,-0.2220,-0.0632,-0.2113,0.313
3.5770,-0.2064,-0.8584,-0.8313,1.213
3.5840,-0.7166,-0.8273,-1.5640,1.909
3.5880,-0.7844,-0.8712,-0.7334,1.383
3.6250,0.7726,1.0719,1.0346,1.678
3.6250,1.1258,1.0814,0.1163,1.565
3.6260,0.6385,-0.5578,0.8096,1.172
3.6270,-0.2746,-1.1064,-0.4354,1.220
3.6390,-0.4689,-0.4240,-1.0269,1.206
3.6570,0.1389,0.3984,0.0599,0.426
3.6600,0.4277,0.0640,-0.6008,0.740
3.6950,0.0836,-0.6235,-1.0415,1.217
3.6980,0.0475,-0.8978,-0.5686,1.064
3.7000,0.4810,-0.6844,0.0537,0.838
3.7010,0.1807,0.7209,1.2422,1.448
3.7080,1.0133,0.9973,-1.3041,1.929
3.7210,-0.3204,-1.3230,-1.3975,1.951
3.7290,-0.4656,-1.0762,-0.9834,1.530
3.7400,-0.7678,0.0768,-0.2054,0.799
3.7620,-0.0533,0.3599,0.7210,0.808
3.7650,0.1095,-0.2524,-0.3875,0.475
3.7710,-0.7237,-1.1580,-0.3780,1.417
3.7790,-0.9505,-1.6629,-1.5609,2.471
3.8270,-0.4291,-0.3415,0.1961,0.582
3.8300,-0.2679,0.6745,-0.0005,0.726
3.8310,0.1628,0.2692,0.2975,0.433
3.8320,0.0027,-0.7973,0.1957,0.821
3.8330,-0.5038,-1.1828,-0.5526,1.399
3.8400,-0.5555,-0.0253,-0.3336,0.648
3.8580,0.3842,1.0965,0.3571,1.216
3.8590,1.0714,0.8064,0.5989,1.469
3.8990,0.3942,0.3256,0.2302,0.561
3.9000,-0.0557,-0.4216,-1.4362,1.498
3.9000,-0.6767,0.1185,-0.7454,1.014
3.9000,0.6332,0.9635,1.8475,2.178
3.9090,0.7102,0.5889,0.7845,1.211
3.9200,-0.4162,-0.1716,-0.2019,0.493
3.9280,-1.7805,-1.3591,-1.8515,2.906
3.9440,-1.4841,-0.5194,-1.0746,1.904
3.9510,-0.9075,0.3789,-0.4987,1.103
3.9620,0.1450,-0.2897,0.9810,1.033
3.9760,0.1825,-0.7264,-0.1741,0.769
3.9790,-1.2211,-1.3236,-1.6609,2.450
4.0100,-0.6233,-0.4319,-0.6348,0.989
4.0100,0.3742,1.3511,0.3805,1.453
4.0110,0.7749,0.9544,0.9241,1.538
4.0350,-0.1410,-0.5708,0.1221,0.601
4.0350,-0.6071,0.2845,-0.6477,0.932
4.0410,-0.7955,-0.0024,-0.8547,1.168
4.0550,0.0017,1.1643,0.7974,1.411
4.0600,0.5250,1.1302,0.6778,1.419
4.0880,0.2598,-0.2510,0.0806,0.370
4.0910,-0.3243,0.0624,0.1309,0.355
4.0920,-0.5651,0.0798,-1.5450,1.647
4.1290,-0.6174,0.6807,-0.9559,1.326
4.1290,-0.1614,1.1512,0.7227,1.369
4.1300,0.8965,-0.5939,-0.0816,1.078
4.1310,-0.6039,-0.2481,-0.0336,0.654
4.1490,-0.9362,-0.2691,-1.7286,1.984
4.1500,-0.6826,0.3928,-0.5696,0.972
4.1590,0.4410,0.2736,0.4733,0.702
4.1710,0.6524,-1.1957,1.8680,2.312
