time,ax,ay,az,aT
0.0100,0.0201,1.1070,0.5514,1.237
0.0100,1.8176,2.2123,-1.2754,3.134
0.0110,0.6783,0.1174,1.1079,1.304
0.0260,-0.5725,-0.7905,-0.4293,1.066
0.0310,0.0426,-1.2621,-2.2765,2.603
0.0400,0.4798,-1.3208,1.2993,1.914
0.0510,-0.9578,0.0218,-0.8101,1.255
0.0600,-0.6575,0.3960,0.5738,0.958
0.0720,0.2512,0.4187,0.7725,0.914
0.0800,0.5931,-0.3708,0.2409,0.740
0.0910,0.3196,1.1095,-0.1578,1.165
0.1010,0.6096,1.2439,0.6694,1.538
0.1120,0.2444,0.5896,-0.9359,1.133
0.1250,-1.2847,-0.5510,1.3230,1.925
0.1330,0.2504,-0.4459,-0.8713,1.010
0.1420,0.3838,0.2645,1.8725,1.930
0.1510,1.3696,1.4875,-0.1794,2.030
0.1610,1.0820,1.4271,1.4485,2.303
0.1890,0.7739,0.1634,-1.1075,1.361
0.1920,-0.2545,-0.5550,0.5324,0.810
0.1930,-0.2229,-0.5029,-0.1464,0.569
0.2010,-0.6447,0.0478,2.0035,2.105
0.2160,0.1124,0.2242,0.1492,0.292
0.2210,-0.0162,0.1119,-0.5882,0.599
0.2310,-0.1056,-0.6406,-0.7702,1.007
0.2450,-0.6842,0.7912,-0.4721,1.148
0.2520,1.4660,2.0962,-0.5259,2.612
0.2610,0.0849,1.1769,1.0136,1.556
0.2730,0.7863,0.8063,-1.4128,1.807
0.2810,-1.5016,-2.0635,-0.2730,2.567
0.2910,-0.4829,-0.9157,1.8004,2.077
0.3010,0.4625,0.7761,-0.8668,1.252
0.3140,-0.2051,-1.2394,-0.4598,1.338
0.3210,0.3991,-0.4328,-0.1353,0.604
0.3320,-0.1202,0.3646,-0.1281,0.405
0.3460,-0.6529,0.9446,-1.3204,1.750
0.3520,0.4002,1.1487,3.3867,3.598
0.3620,-0.3179,-0.0245,-1.7178,1.747
0.3740,-0.9497,-0.2598,-0.5351,1.121
